modelo,examen,cer,wer,segundos,vram_pico_mb,error
qwen2.5vl:7b,prueba_1_aitana,0.0022,0.0299,10.9,8994,
qwen2.5vl:7b,prueba_1_maria,0.0141,0.059,28.52,8976,
qwen2.5vl:7b,prueba_2_isabel,0.0137,0.0315,46.22,8976,
qwen2.5vl:7b,prueba_2_juana,0.0277,0.0485,50.46,8966,
qwen2.5vl:7b,prueba_3_alejandro,0.001,0.0037,41.03,8966,
qwen2.5vl:7b,prueba_3_juan,0.001,0.0045,28.63,8966,
qwen3-vl:8b-instruct,prueba_1_aitana,0.0007,0.0233,12.58,9215,
qwen3-vl:8b-instruct,prueba_1_maria,0.0206,0.059,36.56,9197,
qwen3-vl:8b-instruct,prueba_2_isabel,0.0109,0.0298,59.46,9190,
qwen3-vl:8b-instruct,prueba_2_juana,0.0249,0.0446,66.36,9190,
qwen3-vl:8b-instruct,prueba_3_alejandro,0.0023,0.0087,27.9,9146,
qwen3-vl:8b-instruct,prueba_3_juan,0.002,0.009,46.6,9182,
minicpm-v4.5:8b,prueba_1_aitana,0.0202,0.0598,11.11,7820,
minicpm-v4.5:8b,prueba_1_maria,0.0477,0.1433,16.56,7827,
minicpm-v4.5:8b,prueba_2_isabel,0.0503,0.1103,28.02,7829,
minicpm-v4.5:8b,prueba_2_juana,0.1212,0.1979,34.37,7811,
minicpm-v4.5:8b,prueba_3_alejandro,0.0369,0.0671,29.23,7800,
minicpm-v4.5:8b,prueba_3_juan,0.0177,0.0293,18.1,7804,
